,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
delta[46],-0.03248873,0.325074094,0.002654219,0.006051162,-0.755415657,-0.163331121,-0.014722814,0.120476932,0.589380261
delta[47],-0.012363138,0.31702523,0.0025885,0.003624883,-0.701334077,-0.148579382,-0.006466673,0.133525525,0.630698174
delta[48],-0.022637672,0.307851174,0.002513594,0.003741765,-0.699777122,-0.156279357,-0.011349461,0.124252403,0.581667261
delta[49],0.04294163,0.302709501,0.002471613,0.005199593,-0.554944095,-0.108562927,0.024230104,0.177944378,0.715493329
delta[50],-0.032738255,0.319176678,0.002606067,0.005239731,-0.760493652,-0.16451107,-0.016017794,0.116324809,0.586306963
delta[51],0.001810232,0.333159963,0.00272024,0.004333241,-0.673420391,-0.143419729,0.002035729,0.14620658,0.692824473
delta[52],0.009749406,0.323053532,0.002637721,0.003332096,-0.651077437,-0.13987654,0.004066185,0.154381891,0.708922609
delta[53],0.007349449,0.321084465,0.002621644,0.003518873,-0.665019823,-0.140430834,0.004959479,0.146998898,0.689795922
delta[54],0.004372448,0.326930575,0.002669377,0.004546695,-0.694023648,-0.139258056,0.002208746,0.147625283,0.692479119
delta[55],0.002120336,0.322755094,0.002635284,0.004055005,-0.690055791,-0.142617587,0.000452171,0.144503778,0.675956267
delta[56],0.009094389,0.333289909,0.002721301,0.004192915,-0.655200776,-0.140888477,0.001800478,0.151726725,0.730434451
delta[57],-0.006620691,0.34010224,0.002776923,0.00427965,-0.708459214,-0.147427782,-0.000107993,0.146035037,0.652524081
delta[58],0.007758348,0.325886378,0.002660851,0.004362589,-0.659352947,-0.137353128,0.002549772,0.151919365,0.699211138
delta[59],0.006447558,0.325510922,0.002657786,0.003594036,-0.665786811,-0.141929702,0.000265492,0.150044734,0.702913916
delta[60],0.004057371,0.333235751,0.002720859,0.003813251,-0.69413658,-0.139453395,0.000395493,0.146357537,0.703189581
delta[61],0.001241214,0.328966944,0.002686004,0.004505697,-0.674635556,-0.14454926,-0.001293002,0.13951411,0.719405104
delta[62],0.006820871,0.322775465,0.002635451,0.00371714,-0.69603729,-0.136536525,0.006254171,0.147624924,0.689083804
delta[63],-0.005647197,0.334129358,0.002728155,0.003852117,-0.724237841,-0.144756881,-0.001537855,0.143736213,0.664221309
