,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
delta[28],0.002885293,0.323220821,0.002639087,0.004518162,-0.638596187,-0.112762469,0.000228832,0.119395623,0.644629954
delta[29],0.008263434,0.307898941,0.002513984,0.004556284,-0.615076058,-0.112759394,0.003349662,0.120940774,0.661835582
delta[30],-0.024444039,0.30520251,0.002491968,0.005433823,-0.701566199,-0.126621408,-0.010404916,0.100811742,0.552802567
delta[31],-0.0311324,0.311303185,0.00254178,0.00607459,-0.70385449,-0.131791105,-0.010787069,0.101248327,0.514987537
delta[32],-0.019183408,0.302027401,0.002466043,0.004170643,-0.66169795,-0.12465404,-0.007314014,0.102763627,0.5469539
delta[33],-0.01239469,0.306712948,0.002504301,0.005124708,-0.67638123,-0.121359382,-0.001139165,0.11379783,0.597268421
delta[34],-0.028352698,0.31240155,0.002550748,0.006332029,-0.712730639,-0.132998632,-0.011736347,0.097379439,0.549805189
delta[35],-0.011565025,0.314852516,0.00257076,0.004124907,-0.668430456,-0.122313166,-0.004348991,0.112953061,0.590331276
delta[36],-0.021400507,0.294159868,0.002401805,0.003450623,-0.660764907,-0.132189678,-0.00884705,0.100338181,0.573885998
delta[37],-0.00084557,0.310067323,0.002531689,0.003700199,-0.620563684,-0.11809364,-0.003023154,0.11411576,0.656067011
delta[38],-0.023819044,0.299501325,0.002445418,0.003521084,-0.6920139,-0.131064157,-0.009554453,0.100062456,0.563869334
delta[39],-0.028657295,0.299310223,0.002443858,0.00564157,-0.737123248,-0.127205326,-0.011884534,0.096174019,0.529683732
delta[40],-0.020557374,0.303057403,0.002474453,0.004605952,-0.70703328,-0.125106539,-0.008112153,0.100430522,0.545786747
delta[41],-0.024415386,0.312952645,0.002555248,0.004305328,-0.701606217,-0.126864506,-0.008857296,0.099162106,0.54872668
delta[42],-0.01580829,0.320467063,0.002616603,0.006481682,-0.669857118,-0.119816675,-0.004423423,0.105167972,0.585762325
delta[43],-0.005605701,0.310921031,0.00253866,0.003760498,-0.675605801,-0.115960353,-0.001864355,0.112721476,0.61594096
delta[44],-0.005975477,0.30199176,0.002465752,0.003847621,-0.641605431,-0.120365786,-0.002395246,0.11165647,0.623825189
delta[45],-0.014852112,0.30271142,0.002471628,0.003484248,-0.667725843,-0.120019912,-0.006626197,0.103842873,0.563095266
delta[46],-0.016200959,0.313734353,0.00256163,0.00479389,-0.691609875,-0.123107147,-0.005058195,0.10989133,0.601126989
